"Date","Record Number","Record Type","Project Name","Status","Description","Short Notes",
"12/30/2016","2016-001170PRJ","Project Profile (PRJ)","84 Levant Street","Closed","A 205 SQ FT 4TH STORY ADDITION & 333 SQ FT ROOF DECK WITHIN EXISTING BUILDING FOOT PRINT.",,
"12/30/2016","2016-016604EEC","Categorical Exemption (EEC)","Pier 50 Bldg. C","Open","A small section of the existing timber fender system needs routine maintenance repair. The ""in-kind"" repairs to the fender system will consist of replacing missing and damaged fender piles (up to 12 piles) along with their associated chocks and timber framing. These repairs are necessary to assure the ongoing structural integrity consistent with the present use of the pier for marine transportation services.",,
"12/30/2016","2016-016604ENV","Environmental (ENV)","Pier 50 Bldg. C","Pending Review","A small section of the existing timber fender system needs routine maintenance repair. The ""in-kind"" repairs to the fender system will consist of replacing missing and damaged fender piles (up to 12 piles) along with their associated chocks and timber framing. These repairs are necessary to assure the ongoing structural integrity consistent with the present use of the pier for marine transportation services.",,
"12/30/2016","2016-016606PRL","Project Light (PRL)","3 BERNICE ST","Closed",,,
"12/30/2016","2016-016607PRL","Project Light (PRL)","431/433 Capp Street","Closed","Revisions to P.A. # 2016-0830-6316. Modify floor plans at 1st, 2nd, 3rd and 4th levels. Modify structural foundations, framing, add dormers. Remodel Unit 1 at 2nd floor; Remodel Unit 2 at 3rd and 4th floors. Add 42"" railing against doors on top of rear pop-out.",,
"12/30/2016","2016-016608PRL","Project Light (PRL)","1646 36TH AVE","Closed","Add full bath, half bath, and home office at ground floor.  Move/renovate existing full bath and laundry at ground floor.  Add door to street on ground floor at front.",,
"12/30/2016","2016-016609PRJ","Project Profile (PRJ)","69 WINFIELD ST","Under Review","ENLARGE THE GROUND FLOOR GARAGE, INSTALL NEW FURNACE TO REPLACE (E) FLOOR HEATER, REPLACE EXIST. WATER HEATER; REMOVE SERVICE STAIR, CONSTRUCT NEW INTERIOR STAIR TO GARAGE, REMODEL 2ND FLOOR INCLUDING KITCHEN REMODEL AND CONVERSION OF ONE BEDROOM TO A BREAKFAST ROOM",,
"12/30/2016","2016-016610PRJ","Project Profile (PRJ)","3368 19TH ST","Under Review","NO CONSTRUCTION, FROM GROCERY STORE TO GROCERY STORE WITH RESTAURANT.",,
"12/30/2016","2016-016611PRL","Project Light (PRL)","2066 Wawona","Closed","Perform repairs as per Lingruen Associates termite report #69705-S1 Item #5D Repair balcony in-kind.",,
"12/30/2016","2016-016613PRJ","Project Profile (PRJ)","482 SANCHEZ ST","Closed","REMODEL 2ND FL. BATHROOMS AND KITCHEN, BEDROOMS, NEW ROCK, NEW INTERIOR STAIRS TO 1ST FL, REPLACE WINDOWS",,
"12/30/2016","2016-016614PRJ","Project Profile (PRJ)","1701 FRANKLIN ST","Closed","COMMENCEMENT OF WORK NOT STARTED UNDER PREVIOUSLY APPROVED PERMIT #200610316516 APPLICATION",,
"12/30/2016","2016-016615PRJ","Project Profile (PRJ)","3283 FOLSOM ST","Closed","REMOVE & REPLACE IN KIND ROTTED REAR STAIRS & PORCH. PROVIDE NEW FOUNDATION FOR PORCH. ENCLOSE SPACE BELOW (E) CONDITIONED STUDY WITH PLYWOOD FOR LATERAL RESISTANCE. ENLARGE (E) OPENING BTWN KITCHEN & DINING ROOM. MINOR RENOVATION OF KITCHEN. INSTALL NEW SIDING & DECK @ REAR.",,
"12/30/2016","2016-016616PRL","Project Light (PRL)","500 BEACH ST","Closed","Business blade sign for retail store ""Find Your Feet"", 45"" projection, 25"" vertical dimension, below second story window (top of sign 122"" above sidewalk).",,
"12/30/2016","2016-016617PRJ","Project Profile (PRJ)","2071 23RD AVE","Under Review","TO ENCLOSE THE (E) DECK BELOW FOR STORAGE ROOM",,
"12/30/2016","2016-016618PRL","Project Light (PRL)","500 BEACH ST","Closed","Directly illuminated business sign for ""Find Your Feet"" retail store, 120"" wide, 41"" vertical dimension, top of sign 122"" above sidewalk.",,
"12/30/2016","2016-016619PRJ","Project Profile (PRJ)","1570 PLYMOUTH AVE","Under Review","HORIZONTAL ADDITION AT 1 ST FLR ABOVE EXISTING BASEMENT LEVEL GARAGE TO CREATE A MASTER BATH ROOM & CLOSET AREA.",,
