"Date","Record Number","Record Type","Project Name","Status","Description","Short Notes",
"06/16/2017","2014-001272DVA","Development Agreements-LEG (DVA)","Pier 70-Waterfront Site","Open","The proposed project would involve development of a 28-acre site into a mixed-use development, including parks, roads, and infrastructure. Below is a breakdown of the use types of the pier 70-waterfront site development. Residential – Development of a range of 2,000 to 1,000 new dwelling units consisting of approximately 1,712,000 - 903,000. As part of this residential program, Building 2 would be rehabilitated into approximately 120 dwelling units (consisting of approximately 110,000 gsf).Commercial Office – Construction of a range of 1,810,00 million gsf to 900,000  gsf of Class A Office and Research/Development space. As part of the commercial development, a portion of Building 12 would be rehabilitated into commercial office space (consisting of approximately 60,000 gsf).Retail and Arts – Construction of up to 400,000 gsf of new ground floor commercial retail and arts activity space, including small scale local production and small business incubator uses. Approximately 120,000 gsf of the retail and arts space would result from the construction of Buildings E-1A and E-1B, and approximately 115,000 gsf would result from the rehabilitation ofBuildings 12 and 21.Parking – The proposal would provide parking within up to three newly-constructed district parking facilities and/or dispersed within buildings housing other uses, based upon the followingmaximum rates:o Residential Condominium Units: 1.0 space per dwelling unit;o Residential Rental Unit: 0.5 space per dwelling unit;o Commercial (includes office, restaurant, retail and arts, and all other uses): .9 spaces per1,000 gsf of floor areaOpen Space and Recreation – The project includes construction of approximately seven acres of new public open space and recreational areas consisting of: approximately 3.9 acres for the Slipway Commons Waterfront Park; 0.6 acres for Market Square, located between Building 2 and 12; and, approximately 1.7 acres of useable rooftop open space on the district parking facilities.¿Infrastructure Development – The infrastructure development would include a) site preparation, including remediation of contaminated soils, grading, soil compaction and stabilization,construction and installation of water, sanitary sewer, storm drainage, and utility infrastructure,and subsurface improvements to improve seismic conditions; and b) construction of streets andwalkways, shoreline improvements, public access, and parks.",,
"06/16/2017","2017-007560PRL","Project Light (PRL)","1445 7th Avenue","Closed","Window replacement",,
"06/16/2017","2017-007561PRL","Project Light (PRL)","25 RALEIGH ST","Closed","Garage door replacement.",,
"06/16/2017","2017-007562PRL","Project Light (PRL)","1270 Guerrero","Closed","Replace window glass only for second floor window; no change to fenestration. Also replace windows in light well area on side, and 17 windows at rear.",,
"06/16/2017","2017-007564PRL","Project Light (PRL)","166 Lomita Avenue","Closed","Replace Header over garage, add hold downs bucket, replace front and garage doors, replace all windows, Stucco, three sides of dwelling, window out front to be aluminum.",,
"06/16/2017","2017-007566PRL","Project Light (PRL)","2962 - 23rd St","Closed","Replace front window to wood double hung, same dimensions, visible from street.  3"" wood trim.",,
"06/16/2017","2017-007567PRL","Project Light (PRL)","3500 Scott Street","Closed","At garage level, add wall to create laundry room. Raise ceiling at third floor master bedroom and reframe roof. No additional height.",,
"06/16/2017","2017-007569PRL","Project Light (PRL)","55 20TH AVE","Closed","Replace windows within existing openings with Marvin wood metal clad sash.",,
"06/16/2017","2017-007571PRJ","Project Profile (PRJ)","225 BUSH ST","Application Accepted","One internally lit face letter channel sign.",,
"06/16/2017","2017-007571PTA","Permit to Alter Major/Minor (PTA)","225 BUSH ST","Accepted","One internally lit face letter channel sign.",,
